item,Attribute,Value,global_us_usc
system_wide_sales_total,2023,27019,global
system_wide_sales_total,2022,23450,global
system_wide_sales_total,2021,21690,global
system_wide_sales_growth_percent,2023,6.9,global
system_wide_sales_growth_percent,2022,2.8,global
system_wide_sales_growth_percent,2021,4.2,global
comparable_sales_growth_global,2023,7.4,us
comparable_sales_growth_global,2022,2.3,us
comparable_sales_growth_global,2021,4.8,us
net_restaurant_growth_global,2023,-3.3,us
net_restaurant_growth_global,2022,-0.6,us
net_restaurant_growth_global,2021,0.7,us
store_count_global,2023,19384,global
store_count_global,2022,19035,global
store_count_global,2021,18625,global
store_count_us_canada,2023,7144,usc
store_count_us_canada,2022,7389,usc
store_count_us_canada,2021,7433,usc
store_count_us,2023,6643,us
store_count_us,2022,6778,us
store_count_us,2021,7105,us
revenue_global,2023,1837,global
revenue_global,2022,1688,global
revenue_global,2021,1553,global
revenue_us_canada,2023,1297,us
revenue_us_canada,2022,1196,us
revenue_us_canada,2021,1156,us
operating_income_global,2023,983,global
operating_income_global,2022,921,global
operating_income_global,2021,932,global
operating_income_us_canada,2023,386,us
operating_income_us_canada,2022,396,us
operating_income_us_canada,2021,421,us
revenue_company_operated,2023,392,us
revenue_company_operated,2022,296,us
revenue_company_operated,2021,211,us
revenue_franchise,2023,1216,us
revenue_franchise,2022,1171,us
revenue_franchise,2021,1130,us
revenue_property,2023,229,us
revenue_property,2022,221,us
revenue_property,2021,212,us
revenue_advertising,2023,495,us
revenue_advertising,2022,438,us
revenue_advertising,2021,400,us
depreciation_us_canada,2023,46,us
depreciation_us_canada,2022,45,us
depreciation_us_canada,2021,44,us
capex_us_canada,2023,37,us
capex_us_canada,2022,31,us
capex_us_canada,2021,13,us
brand_value,2023,2107,global
brand_value,2022,2088,global
goodwill,2023,485,global
goodwill,2022,480,global
remodel_investment_2023,2023,44,us
digital_investment_2023,2023,60,us
